ticker,view_date,fiscal_period,filing_type,view_bps,confidence,sentiment,eps_surprise
ABT,2006-05-05,Q1_2006,10-Q,-17,medium,negative,-1.7543859649122628
ABT,2007-05-08,Q1_2007,10-Q,-16,medium,negative,-8.163265306122446
ABT,2006-11-08,Q3_2006,10-Q,70,medium,neutral,-20.689655172413783
ABT,2007-11-03,Q3_2007,10-Q,-34,medium,negative,-29.230769230769234
ABT,2007-08-04,Q2_2007,10-Q,-15,medium,negative,-5.970149253731348
ABT,2006-08-09,Q2_2006,10-Q,62,medium,negative,-23.076923076923077
ABT,2008-05-03,Q1_2008,10-Q,-73,medium,negative,-1.6393442622950833
ABT,2008-07-26,Q2_2008,10-Q,-82,medium,negative,14.864864864864863
ABT,2008-11-04,Q3_2008,10-Q,56,medium,negative,-8.000000000000007
ABT,2009-05-06,Q1_2009,10-Q,88,medium,negative,37.31343283582089
ABT,2009-08-08,Q2_2009,10-Q,221,medium,positive,-6.741573033707871
ABT,2009-11-07,Q3_2009,10-Q,200,medium,positive,7.954545454545449
ABT,2010-05-05,Q1_2010,10-Q,56,medium,negative,-18.9873417721519
ABT,2006-02-23,FY2005,10-K,15,medium,negative,-17.105263157894736
ABT,2007-02-24,FY2006,10-K,-18,medium,negative,-142.46575342465755
ABT,2010-08-06,Q2_2010,10-Q,51,medium,negative,-16.161616161616166
ABT,2010-11-06,Q3_2010,10-Q,80,medium,negative,-44.66019417475729
ABT,2009-02-21,FY2008,10-K,-50,medium,negative,-6.603773584905666
ABT,2008-02-20,FY2007,10-K,-100,medium,negative,-15.384615384615385
ABT,2011-05-07,Q1_2011,10-Q,119,medium,negative,-38.20224719101123
ABT,2011-08-05,Q2_2011,10-Q,8,medium,negative,12.727272727272718
ABT,2010-02-20,FY2009,10-K,-40,medium,negative,-14.6551724137931
ABT,2011-11-05,Q3_2011,10-Q,104,medium,negative,-83.62068965517241
ABT,2012-05-09,Q1_2012,10-Q,69,medium,negative,-19.587628865979376
ABT,2012-08-08,Q2_2012,10-Q,58,medium,negative,-9.917355371900817
ABT,2012-11-08,Q3_2012,10-Q,92,medium,negative,-3.174603174603177
ABT,2013-05-09,Q1_2013,10-Q,46,medium,negative,-15.0
ABT,2011-02-19,FY2010,10-K,34,medium,negative,-28.125
ABT,2013-08-07,Q2_2013,10-Q,109,medium,negative,-28.57142857142857
